Type,Run,Epoch1,Epoch2,Stage1,Stage2,Similarity,Matrix_Type,n
Between_Epochs,1,100,110,after_training,after_training,0.55187121,binary,10
Between_Epochs,1,120,130,after_training,after_training,0.55244907,binary,10
Between_Epochs,1,130,140,after_training,after_training,0.55242499,binary,10
Between_Epochs,1,150,160,after_training,after_training,0.55134188,binary,10
Between_Epochs,1,140,150,after_training,after_training,0.55476483,binary,10
Between_Epochs,1,110,120,after_training,after_training,0.55312379,binary,10
Between_Epochs,1,160,170,after_training,after_training,0.55208786,binary,10
Between_Epochs,1,170,180,after_training,after_training,0.55350960,binary,10
Between_Epochs,1,180,190,after_training,after_training,0.55254542,binary,10
Between_Epochs,2,0,10,after_training,after_training,0.54242954,binary,10
Between_Epochs,2,10,20,after_training,after_training,0.54503564,binary,10
Between_Epochs,2,40,50,after_training,after_training,0.55015488,binary,10
Between_Epochs,2,20,30,after_training,after_training,0.53891345,binary,10
Between_Epochs,2,70,80,after_training,after_training,0.55257146,binary,10
Between_Epochs,2,30,40,after_training,after_training,0.54555791,binary,10
Between_Epochs,2,60,70,after_training,after_training,0.55194865,binary,10
Between_Epochs,2,50,60,after_training,after_training,0.55120672,binary,10
Between_Epochs,2,80,90,after_training,after_training,0.55075234,binary,10
Between_Epochs,2,90,100,after_training,after_training,0.55223604,binary,10
Between_Epochs,2,100,110,after_training,after_training,0.55429878,binary,10
Between_Epochs,2,110,120,after_training,after_training,0.55125457,binary,10
Between_Epochs,2,140,150,after_training,after_training,0.55273923,binary,10
Between_Epochs,2,150,160,after_training,after_training,0.55357860,binary,10
Between_Epochs,2,120,130,after_training,after_training,0.55329071,binary,10
Between_Epochs,2,130,140,after_training,after_training,0.55226000,binary,10
Between_Epochs,2,160,170,after_training,after_training,0.55056110,binary,10
Between_Epochs,2,170,180,after_training,after_training,0.55113496,binary,10
Between_Epochs,2,180,190,after_training,after_training,0.55319477,binary,10
Between_Epochs,3,0,10,after_training,after_training,0.54182220,binary,10
Between_Epochs,3,10,20,after_training,after_training,0.54574016,binary,10
Between_Epochs,3,20,30,after_training,after_training,0.54497876,binary,10
Between_Epochs,3,30,40,after_training,after_training,0.54678831,binary,10
Between_Epochs,3,60,70,after_training,after_training,0.55205047,binary,10
Between_Epochs,3,40,50,after_training,after_training,0.55049202,binary,10
Between_Epochs,3,70,80,after_training,after_training,0.54994132,binary,10
Between_Epochs,3,50,60,after_training,after_training,0.55089931,binary,10
Between_Epochs,3,80,90,after_training,after_training,0.55044412,binary,10
Between_Epochs,3,90,100,after_training,after_training,0.55253063,binary,10
Between_Epochs,3,120,130,after_training,after_training,0.55471909,binary,10
Between_Epochs,3,100,110,after_training,after_training,0.55253063,binary,10
Between_Epochs,3,110,120,after_training,after_training,0.55325142,binary,10
Between_Epochs,3,130,140,after_training,after_training,0.55209848,binary,10
Between_Epochs,3,140,150,after_training,after_training,0.55397287,binary,10
Between_Epochs,3,150,160,after_training,after_training,0.55219449,binary,10
Between_Epochs,3,160,170,after_training,after_training,0.55370826,binary,10
Between_Epochs,3,170,180,after_training,after_training,0.55236254,binary,10
Between_Epochs,3,180,190,after_training,after_training,0.55094724,binary,10
Between_Epochs,4,0,10,after_training,after_training,0.54436183,binary,10
Between_Epochs,4,20,30,after_training,after_training,0.54049628,binary,10
Between_Epochs,4,10,20,after_training,after_training,0.54445753,binary,10
Between_Epochs,4,60,70,after_training,after_training,0.55357838,binary,10
Between_Epochs,4,40,50,after_training,after_training,0.55005208,binary,10
Between_Epochs,4,50,60,after_training,after_training,0.55248980,binary,10
Between_Epochs,4,30,40,after_training,after_training,0.54817472,binary,10
Between_Epochs,4,70,80,after_training,after_training,0.55183738,binary,10
Between_Epochs,4,80,90,after_training,after_training,0.55171662,binary,10
Between_Epochs,4,100,110,after_training,after_training,0.55520200,binary,10
Between_Epochs,4,90,100,after_training,after_training,0.55186154,binary,10
Between_Epochs,4,120,130,after_training,after_training,0.55265904,binary,10
Between_Epochs,4,110,120,after_training,after_training,0.55307019,binary,10
Between_Epochs,4,130,140,after_training,after_training,0.55265904,binary,10
Between_Epochs,4,140,150,after_training,after_training,0.55128205,binary,10
Between_Epochs,4,150,160,after_training,after_training,0.55087184,binary,10
Between_Epochs,4,160,170,after_training,after_training,0.55128205,binary,10
Between_Epochs,4,180,190,after_training,after_training,0.55140274,binary,10
Between_Epochs,4,170,180,after_training,after_training,0.55355418,binary,10
Between_Epochs,0,20,40,after_training,after_training,0.53275996,binary,20
Between_Epochs,0,0,20,after_training,after_training,0.52613887,binary,20
Between_Epochs,0,60,80,after_training,after_training,0.54524734,binary,20
Between_Epochs,0,80,100,after_training,after_training,0.54674806,binary,20
Between_Epochs,0,40,60,after_training,after_training,0.53986402,binary,20
Between_Epochs,0,100,120,after_training,after_training,0.54417717,binary,20
Between_Epochs,0,120,140,after_training,after_training,0.54548535,binary,20
Between_Epochs,0,140,160,after_training,after_training,0.54534253,binary,20
Between_Epochs,0,160,180,after_training,after_training,0.54920792,binary,20
Between_Epochs,1,20,40,after_training,after_training,0.53445077,binary,20
Between_Epochs,1,0,20,after_training,after_training,0.53480382,binary,20
Between_Epochs,1,60,80,after_training,after_training,0.54406432,binary,20
Between_Epochs,1,40,60,after_training,after_training,0.53921885,binary,20
Between_Epochs,1,80,100,after_training,after_training,0.54630731,binary,20
Between_Epochs,1,100,120,after_training,after_training,0.54719198,binary,20
Between_Epochs,1,120,140,after_training,after_training,0.54680930,binary,20
Between_Epochs,1,140,160,after_training,after_training,0.54640291,binary,20
Between_Epochs,1,160,180,after_training,after_training,0.54652241,binary,20
Between_Epochs,2,0,20,after_training,after_training,0.52808920,binary,20
Between_Epochs,2,60,80,after_training,after_training,0.54264244,binary,20
Between_Epochs,2,80,100,after_training,after_training,0.54389735,binary,20
Between_Epochs,2,20,40,after_training,after_training,0.52489237,binary,20
Between_Epochs,2,100,120,after_training,after_training,0.54650841,binary,20
Between_Epochs,2,140,160,after_training,after_training,0.54788871,binary,20
Between_Epochs,2,40,60,after_training,after_training,0.54157854,binary,20
Between_Epochs,2,120,140,after_training,after_training,0.54908060,binary,20
Between_Epochs,2,160,180,after_training,after_training,0.54546293,binary,20
Between_Epochs,3,0,20,after_training,after_training,0.52904435,binary,20
Between_Epochs,3,20,40,after_training,after_training,0.53252306,binary,20
Between_Epochs,3,40,60,after_training,after_training,0.54101733,binary,20
Between_Epochs,3,60,80,after_training,after_training,0.54208278,binary,20
Between_Epochs,3,80,100,after_training,after_training,0.54616878,binary,20
Between_Epochs,3,100,120,after_training,after_training,0.54595444,binary,20
Between_Epochs,3,120,140,after_training,after_training,0.54833932,binary,20
Between_Epochs,3,140,160,after_training,after_training,0.54752764,binary,20
Between_Epochs,3,160,180,after_training,after_training,0.54786176,binary,20
Between_Epochs,4,0,20,after_training,after_training,0.53007075,binary,20
Between_Epochs,4,20,40,after_training,after_training,0.52896795,binary,20
Between_Epochs,4,60,80,after_training,after_training,0.54632588,binary,20
Between_Epochs,4,80,100,after_training,after_training,0.54709369,binary,20
Between_Epochs,4,40,60,after_training,after_training,0.54149660,binary,20
Between_Epochs,4,100,120,after_training,after_training,0.54860755,binary,20
Between_Epochs,4,120,140,after_training,after_training,0.54630190,binary,20
Between_Epochs,4,140,160,after_training,after_training,0.54558279,binary,20
Between_Epochs,4,160,180,after_training,after_training,0.54920911,binary,20
Between_Epochs,0,18,21,after_training,after_training,0.55636905,binary,3
Between_Epochs,0,12,15,after_training,after_training,0.55893229,binary,3
Between_Epochs,0,0,3,after_training,after_training,0.55723864,binary,3
Between_Epochs,0,3,6,after_training,after_training,0.55323694,binary,3
Between_Epochs,0,6,9,after_training,after_training,0.55412710,binary,3
Between_Epochs,0,15,18,after_training,after_training,0.55699699,binary,3
Between_Epochs,0,9,12,after_training,after_training,0.55533165,binary,3
Between_Epochs,0,21,24,after_training,after_training,0.55569338,binary,3
Between_Epochs,0,30,33,after_training,after_training,0.55946534,binary,3
Between_Epochs,0,45,48,after_training,after_training,0.55576574,binary,3
Between_Epochs,0,27,30,after_training,after_training,0.55740784,binary,3
Between_Epochs,0,24,27,after_training,after_training,0.55801242,binary,3
Between_Epochs,0,33,36,after_training,after_training,0.55675541,binary,3
Between_Epochs,0,39,42,after_training,after_training,0.55668296,binary,3
Between_Epochs,0,42,45,after_training,after_training,0.55784309,binary,3
Between_Epochs,0,36,39,after_training,after_training,0.55670711,binary,3
Between_Epochs,0,57,60,after_training,after_training,0.55644148,binary,3
Between_Epochs,0,60,63,after_training,after_training,0.55714197,binary,3
Between_Epochs,0,69,72,after_training,after_training,0.55786728,binary,3
Between_Epochs,0,54,57,after_training,after_training,0.55687619,binary,3
